countriesAndTerritories,casesPer1000,deathsPer1000,NovemberCasesPercent,NovemberDeathsPercent,casesSinceSeptember,deathsSinceSeptember,countryterritoryCode,popData2019,continentExp,casesSinceNovember,deathsSinceNovember,NY.GDP.PCAP.CD,EN.POP.DNST,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SP.POP.65UP.TO.ZS,SH.STA.TRAF.P5,EN.ATM.PM25.MC.M3
Tunisia,6.469072669625894,0.18837559271401172,0.2580960689454622,0.436677258284158,75654,2203,TUN,11694721.0,Africa,19526,962,3317.54101348345,74.4413233779609,2.3,1.3025,8.5934685561919,22.8,37.6559937453942
Turkey,1.7378323626191259,0.06209462132536604,0.26595513265828824,0.2437156323644933,142509,5092,TUR,82003882.0,Asia,37901,1241,9042.49298288882,106.960128893104,2.7,1.8492,8.72628382619289,12.3,44.3115256776956
Turks_and_Caicos_islands,5.576792166308844,0.07854636853956119,0.07981220657276995,,213,3,TCA,38194.0,America,17,0,27142.2277976902,39.6473684210526,,,,,
Uganda,0.28177357968123806,0.0025751313198381543,0.23985890652557318,0.2982456140350877,12474,114,UGA,44269587.0,Africa,2992,34,776.768575885308,213.061734490325,0.5,0.168,1.96255018738143,29.0,50.4943213226178
Ukraine,9.230924567897231,0.15868201685411687,0.3606162983683902,0.35338776679558803,406102,6981,UKR,43993643.0,Europe,146447,2467,3659.03131229487,77.0296708039151,8.8,2.9923,16.7049903897468,13.7,20.3097758188675
United_Arab_Emirates,8.131087313006486,0.014942900719981708,0.22187677009251683,0.2602739726027397,79445,146,ARE,9770526.0,Asia,17627,38,43103.3230583165,135.609110109828,1.2,2.5278,1.15654945602229,18.1,40.9175098248731
United_Kingdom,15.152779613316177,0.15405018600055767,0.35113859047875556,0.5393006720561021,1009889,10267,GBR,66647112.0,Europe,354611,5537,42300.267125825,274.708981936924,2.8,2.8117,18.5086956390397,3.1,10.4726903888942
United_Republic_of_Tanzania,,,,,0,0,TZA,58005461.0,Africa,0,0,1122.12181047515,63.5790787988259,0.7,0.014,2.62054110317161,29.2,29.0766405124356
United_States_Virgin_Islands,2.8686447565954927,0.08605934269786476,0.24,0.2222222222222222,300,9,VIR,104579.0,America,72,2,35938.0243875154,305.648571428571,18.6800003052,,19.8751171374476,,10.2653122841077
United_States_of_America,14.914163578246173,0.19002633453021672,0.37847737282913807,0.25414594361196846,4907728,62531,USA,329064917.0,America,1857464,15892,65118.3583328163,35.7136220923495,2.9,2.612,16.2096061428511,12.4,7.40944166188307
Uruguay,0.685206331745592,0.0057774564228127495,0.3688870151770658,0.3,2372,20,URY,3461731.0,America,875,6,16190.1269572827,19.7080276539824,2.8,5.0794,14.9412404303739,13.4,9.27488332030728
Uzbekistan,0.8498345219464785,0.008398592977957635,0.10888722394662671,0.11191335740072202,28029,277,UZB,32981715.0,Asia,3052,31,1724.8411344137,77.4708509637988,4.0,2.3742,4.59521572497926,11.5,28.455901201856
Vanuatu,0.003334644960351071,,1.0,,1,0,VUT,299882.0,Oceania,1,0,3058.0656752208,24.0098441345365,1.7,0.1653,3.6160889950047,15.9,11.6527770296143
Venezuela,1.7735062164947053,0.01623659617260294,0.09594052162220948,0.1101511879049676,50573,463,VEN,28515829.0,America,4852,51,16054.4905130962,32.7307919052208,0.8,1.9475,7.6109903731012,33.7,17.0085535697031
Vietnam,0.0023325221132426423,3.110029484323523e-05,0.39111111111111113,,225,3,VNM,96462108.0,Asia,88,0,2715.27603640721,308.125245912213,2.6,0.8281,7.55367294178711,26.4,29.6267283386303
Wallis_and_Futuna,,,,,1,0,,,Oceania,0,0,,,,,,,
Western_Sahara,,,,,0,0,ESH,582458.0,Africa,0,0,,,,,,,
Yemen,0.004080663819072008,0.0013373604112925067,0.07563025210084033,0.07692307692307693,119,39,YEM,29161922.0,Asia,9,3,968.159047582999,53.9778529083092,0.7,0.5251,2.90214067508993,21.5,50.4560068932715
Zambia,0.2839701217745848,0.003527231402168542,0.13446372239747634,0.015873015873015872,5072,63,ZMB,17861034.0,Africa,682,1,1291.34335737364,23.3414789007116,2.0,1.1867,2.11531473828777,24.7,27.438034758712
Zimbabwe,0.16209787147195587,0.004165109587105858,0.17860151642796968,0.2459016393442623,2374,61,ZWE,14645473.0,Africa,424,15,1463.98591018054,37.3245909267158,1.7,0.2096,2.9806080625078,34.7,22.2516710932407
