,casesPer1000,deathsPer1000,NovemberCasesPercent,NovemberDeathsPercent,casesSinceSeptember,deathsSinceSeptember,popData2019,casesSinceNovember,deathsSinceNovember,NY.GDP.PCAP.CD,EN.POP.DNST,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SP.POP.65UP.TO.ZS,SH.STA.TRAF.P5,EN.ATM.PM25.MC.M3,countriesAndTerritories,countryterritoryCode,continentExp
0,0.13348489660979646,0.005651684279461645,0.3574241827491138,0.3767441860465116,5078.0,215.0,38041757.0,1815.0,81.0,502.115486913067,56.937760009803,0.5,0.2782,2.61579421390507,15.1,56.910808354508106,Afghanistan,AFG,Asia
1,6.237014952695737,0.11598549063434632,0.3696297541029519,0.3313253012048193,17853.0,332.0,2862427.0,6599.0,110.0,5352.85741103671,104.61226277372299,2.9,1.2164,14.202630620736402,13.6,18.2006025215914,Albania,ALB,Europe
2,0.5266293071799274,0.014818925505261487,0.4043576059630397,0.28683385579937304,22673.0,638.0,43053054.0,9168.0,183.0,3948.3432789257104,17.7300750711665,1.9,1.7193,6.552777881912861,23.8,38.8840106983002,Algeria,DZA,Africa
3,60.39880803917193,0.2888010816913242,0.2303846989784829,0.6111111111111112,4601.0,22.0,76177.0,1060.0,0.0,40886.3911648431,163.842553191489,2.5,3.3333,14.465040600890855,7.6,10.3076213949548,Andorra,AND,Europe
4,0.3331940416333559,0.006598524023293544,0.279045643153527,0.2,10604.0,210.0,31825299.0,2959.0,42.0,2973.5911597986797,24.713052057431604,0.8,0.2146,2.19934175001363,23.6,32.3885049076425,Angola,AGO,Africa
5,2.9906291041925446,0.07256420842278101,0.5071428571428571,0.8333333333333333,0.0,0.0,14872.0,0.0,0.0,117155.01563230884,9697.34,8.8,6.80805,8.430223005575826,0.0,10.747580294150922,Anguilla,AIA,America
6,0.4118828193378984,0.01029707048344746,0.175,1.0,40.0,1.0,97115.0,7.0,1.0,17790.309306815,218.83181818181802,3.8,2.9560000000000004,9.05496406433411,7.9,18.6223428464755,Antigua_and_Barbuda,ATG,America
7,20.178458676650138,0.6008395362508493,0.16341764377133813,0.16780643722589758,903605.0,26906.0,44780675.0,147665.0,4515.0,10006.1489736082,16.2585100979651,5.0,3.9901,11.2431082719004,14.0,13.311833946835,Argentina,ARG,America
8,24.87956972378799,0.2995542524532344,0.3740334569964803,0.4762979683972912,73587.0,886.0,2957728.0,27524.0,422.0,4622.733493286711,103.68022479803301,4.2,4.4023,11.483667716908698,17.1,32.5281183420597,Armenia,ARM,Europe
9,25.030570971686572,0.3198193961057285,0.06989853438556934,0.2058823529411765,2661.0,34.0,106310.0,186.0,7.0,29007.6930034887,588.027777777778,11.2400001526,2.5386,14.058355437665801,11.9,14.443827565291599,Aruba,ABW,America
10,0.08098178009141696,0.011744540375825292,0.06320431161195493,0.3129370629370629,2041.0,296.0,25203200.0,129.0,0.0,54907.1019101424,3.24787091037205,3.8,3.6778,15.9212017459054,5.6,8.55032440147794,Australia,AUS,Oceania
11,19.302668822720975,0.101142652341887,0.5659305956794817,0.6138392857142857,170998.0,896.0,8858775.0,96773.0,550.0,50277.2750874213,107.127966860564,7.6,5.1697,19.0756062856682,5.2,12.477966730824802,Austria,AUT,Europe
12,3.6943708318276016,0.04130290665971053,0.5187230603448276,0.5493975903614458,37120.0,415.0,10047719.0,19255.0,228.0,4793.58701966989,120.23431716463001,4.7,3.446,6.446389120395301,8.7,19.9286636166698,Azerbaijan,AZE,Europe
13,12.827161951905847,0.2875584745022928,0.10388310648518816,0.11607142857142858,4996.0,112.0,389486.0,519.0,13.0,32933.4860147581,38.5254745254745,2.9,2.0068,7.483272654448731,13.8,17.3677204858567,Bahamas,BHS,America
14,20.076604166311228,0.08774260220185186,0.09277975052353638,0.09722222222222222,32949.0,144.0,1641164.0,3057.0,14.0,23503.977126673,2017.27369979138,2.0,0.9257,2.51880972865733,8.0,70.8162076823101,Bahrain,BHR,Asia
15,0.7339884021687525,0.011806471532453571,0.20164780988351688,0.13922077922077922,119674.0,1925.0,163046173.0,24132.0,268.0,1855.7398240804603,1239.5793116693599,0.8,0.5809,5.1803513484748605,15.3,60.8457845768598,Bangladesh,BGD,Asia
16,0.2647889875653698,0.09721021547062943,0.17105263157894735,0.6597484276729559,76.0,0.0,287021.0,13.0,0.0,18148.2449264001,666.606976744186,5.8,2.4843,16.2309903318526,5.6,23.0801758047572,Barbados,BRB,America
17,4.356878759689726,0.03840290871882501,0.3732365296360149,0.17079889807162535,41183.0,363.0,9452409.0,15371.0,62.0,6663.29529282582,46.719503788420404,11.0,5.1905,15.2008413514816,8.9,18.765579906381102,Belarus,BLR,Europe
18,38.914256089139215,0.3845308099964742,0.1993705457588109,0.596594778660613,445783.0,4405.0,11455519.0,88876.0,2628.0,46116.69923368,377.379590488771,6.2,3.0709,19.006566066932102,5.8,12.886518471307198,Belgium,BEL,Europe
19,9.70664863161616,0.1921347710137799,0.3486408023225125,0.4,3789.0,75.0,390351.0,1321.0,30.0,4815.1637107951,16.7939938623411,1.3,1.1229,4.86738926048986,28.3,23.011892109011303,Belize,BLZ,America
20,0.059231510553504486,0.00025421249164594203,0.2875536480686695,0.6666666666666666,699.0,3.0,11801151.0,201.0,2.0,1219.43267185875,101.853919829727,0.5,0.0791,3.2648849252077206,27.5,38.999958763225706,Benin,BEN,Africa
